1,124
0,0,292,169,40,111,44,141,204,255,22,84,130,197,117,221,109,161,60,109,13,76,431,332
1,1000
2,331
67,2
68,12
69,11
70,0
71,1
72,4
73,3
74,67
75,3
76,2
77,18
78,51
79,39
80,32
81,1
82,109
83,2761
84,155
85,105
86,47
87,171
88,436
89,189
90,156
91,31
92,455
93,3
94,89
95,30
96,28
97,128
98,188
99,9
100,130
101,47
102,299
103,9
104,11
105,10
106,107
107,26
108,98
109,297
110,77
111,58
112,6
113,239
114,26
115,25
116,87
117,15
118,107
119,54
120,16
121,7
122,782
123,7
124,26
